Fase DMAIC,Kategori,Deskripsi,PIC / Peran,Keterangan / Metrik
DEFINE,Project Charter,"Digitalisasi Surat Izin Kerja Risiko Tinggi (E-Permit)","Daniel C. (PM), Dynand W. (Frontend), Jeremiah G. (Backend)","Klien: Bpk. Dedi (HSE), Supervisor: Bpk. Thomas"
DEFINE,Latar Belakang & Masalah,"Proses pengajuan SIK manual memakan waktu (lead time), rentan kehilangan dokumen, dan pengawasan K3 (JSA & APD) rentan human error.","Tim IT Interns & User HSE","Defect rate form manual: ~30-40%"
DEFINE,Tujuan (Goal),"Mengurangi waktu persetujuan hingga 80%, menghilangkan penggunaan kertas (100% paperless), dan memastikan 100% kelengkapan data JSA dan APD.","Tim IT Interns","Target: Lead time dari jam menjadi menit"
MEASURE,Kondisi Awal (As-Is),"Waktu sirkulasi memakan 2-4 jam, petugas K3 sering menemukan isian JSA yang terlewat, dan rekap bulanan memakan waktu lebih dari 1 hari.","User HSE (Bpk. Dedi)","Siklus approval manual yang panjang"
MEASURE,Critical to Quality (CTQ),"1. Validasi berjenjang (wajib isi JSA/APD), 2. Kemudahan akses mobile/tablet, 3. Penyimpanan terpusat & pencarian cepat (PDF/CSV).","Supervisor IT (Bpk. Thomas) & PM","Sistem wajib error prompt jika form kosong"
ANALYZE,Fishbone - Manusia,"Pekerja terburu-buru/lupa mengisi form dan pemohon tidak paham APD spesifik.","Semua Pekerja Lapangan","Faktor Human Error"
ANALYZE,Fishbone - Metode,"Prosedur approval berbelit dan tidak ada kontrol paksaan (mandatory field) pada form kertas.","HSE & Management","Sistem manual pasif"
ANALYZE,Fishbone - Mesin/Teknologi,"Mengandalkan filling cabinet lemari fisik dan tidak ada sistem terpusat.","HSE & Admin","Data sulit dicari & diaudit"
ANALYZE,Fishbone - Material,"Form kertas mudah rusak/basah di lapangan dan tinta luntur.","Pekerja & HSE","Penggunaan media kertas yang tidak awet"
ANALYZE,Fishbone - Lingkungan,"Area operasional bongkar muat luas dan mobilitas supervisor / manager tinggi.","Supervisor & Manager Area","Menyulitkan proses TTD fisik"
ANALYZE,5 Whys - Akar Masalah,"Mengapa SIK lama & ditolak? Karena dokumen tidak lengkap. Mengapa? Pekerja lewatkan isian. Mengapa dibiarkan? Form manual pasif. Akar masalah: Tidak ada kontrol validasi otomatis.","Tim IT (Analyst)","Penyebab utama teridentifikasi"
IMPROVE,Peran Project Manager,"Mengkoordinasikan requirement dari Pak Dedi (HSE) & Pak Thomas (SPV), membagi task, dan melakukan QA/UAT.","Daniel Christian Wijaya (PM)","Manajemen Requirement & Testing"
IMPROVE,Peran Frontend Developer,"Membangun UI/UX form wizard 7-step (mandatory field), integrasi react-signature-canvas (TTD digital), dan auto-generate PDF logo SPIL/TPIL.","Dynand Willardi (Frontend)","Pencegahan human error via UI/UX"
IMPROVE,Peran Backend Developer,"Implementasi database SQLite, arsitektur REST API, hybrid saving (offline draft via local storage), dan fitur export Dashboard.","Jeremiah Gerard (Backend)","Manajemen Data & Infrastruktur"
CONTROL,SOP Baru,"Pemberlakuan regulasi bahwa form kertas tidak lagi diproses, semua pihak wajib memproses SIK melalui E-Permit.","Bpk. Thomas & Bpk. Dedi","Standardisasi sistem digital"
CONTROL,Dashboard Monitoring,"User menggunakan fitur filter di dashboard untuk melacak riwayat SIK, rasio disetujui/dibatalkan, dan export CSV untuk audit bulanan.","Bpk. Dedi (User HSE)","Pengawasan operasional harian"
CONTROL,Maintenance,"Penyusunan dokumentasi basis kode agar tim IT internal dapat melakukan pembaruan jika ada revisi dokumen (Misal: Revisi 00 ke 01).","Tim IT Interns","Keberlanjutan dan skalabilitas sistem"
